product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_title,img_link
B0B61DSF17,beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display | White |10 kg | 2 Year Warranty |,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,₹199,"₹1,999",90%,3.7,"2,031","Value for money and accurate,Nice,Very reasonable price, product was nice,Good,Nice product.. Value for spending,Light weight,Super,JUST WOW 🤩🥳",https://m.media-amazon.com/images/I/414Cwv2guxL._SX300_SY300_QL70_FMwebp_.jpg
B07VQGVL68,Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine (10 Kg - with Back Light),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,₹293,₹499,41%,3.9,"44,994","If it had charching support.,Worth product,Cost effective,Good,Good for the price,Accurate,You can use it for everyday purposes,Good",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31p014p14mL._SX342_SY445_QL70_FMwebp_.jpg
B01LWYDEQ7,"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,₹199,₹495,60%,4.1,"2,70,563","Nice chopper,Small easy use n clean,Not good,Good,Good,Probably the best purchase for my mom!,String issues,Good product.",https://m.media-amazon.com/images/I/41cVgYgAKpL._SX300_SY300_QL70_FMwebp_.jpg
B07VNFP3C2,"Prestige 1.5 Litre Kettle 1500-watts, Red",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,₹749,"₹1,245",40%,3.9,"31,783","Good Product Worst Delivery,Overall is ok but outer steel kafi hot 🔥 ho jata he,jo kids k liye kafi harmful he,Nice product,Lovely Product, but filtering holes are big for Ants to get in,Don't buy prestige water kettle product,best product,Medium,Heats up on handle and sides.",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41JCf4kTKgL._SX300_SY300_QL70_FMwebp_.jpg
B00LUGTJGO,Bajaj RHX-2 800-Watt Room Heater (White),"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters","₹1,399","₹1,549",10%,3.9,"2,602","Quality is fine,Good,Minimum electricity maximum heat.,Light weight portable and easy to operate,Nice product,Don't buy it,Value for Money,It's average product",https://m.media-amazon.com/images/I/519JHuNt1RL._SX300_SY300_QL70_FMwebp_.jpg
B01MQZ7J8K,"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,₹749,"₹1,445",48%,3.9,"63,350","Very nice,Good product,Packaging,Good , quick hot water suite,Good product,A plus kettle,It’s ok,Good product 👍🏼",https://m.media-amazon.com/images/I/41XXjVSLyGL._SX300_SY300_QL70_FMwebp_.jpg
B01GFTEV5Y,Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,"₹1,699","₹3,193",47%,3.8,"54,032","It helps to know about what it can and can't do while purchasing.,Good but slightly slow,Product good but its take long time to cooldown,लाजवाब हे,Good,Value for Money,Piegon induction stove,Good",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/411pUp4t0OL._SX300_SY300_QL70_FMwebp_.jpg
B00NW4UWN6,Prestige PKGSS 1.7L 1500W Electric Kettle (Stainless Steel),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,"₹1,043","₹1,345",22%,3.8,"15,592","Recommended but not Best,Good,Good product but due to glass lid take care with children,Not 🚫 suitable to boil milk and eggs,It is a nice product,Not worthy of investing,Not good. prestige brand name only,Its difficult to clean and and also from handle leakage takaes place.",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41J3yWKhnxL._SX300_SY300_QL70_FMwebp_.jpg
B01NCVJMKX,"SHOPTOSHOP Electric Lint Remover, Best Lint Shaver for Clothes,Lint Remover for Woolen Clothes ,Lint Remover for Sweaters","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",₹499,₹999,50%,4.1,"4,859","Serves the Purpose,GOOD TO USE but price is high,Does the job well,Go for it.,Good product,Very good product and life saver in winters,Easy to use,Solve the problem of lint on woollen fabrics",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51MWh9t3Z2L._SX300_SY300_QL70_FMwebp_.jpg
B00O24PUO6,Orpat OEH-1260 2000-Watt Fan Heater (Grey),"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters","₹1,464","₹1,650",11%,4.1,"14,120","Best in this range,Product is gud but shipped damaged product but new 1 is gud,Good but should be more better from company,Average product,Does it's job well,Good product,Working this product very smoothly.,Very good much 🙏🙏",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41DwZuxPCaL._SY300_SX300_QL70_FMwebp_.jpg
